,power sensor (delta),power sensor (theta),power sensor (alpha),power sensor (beta),power sensor (gamma),power source (delta),power source (theta),power source (alpha),power source (beta),power source (gamma),wpli source (delta),wpli source (theta),wpli source (alpha),wpli source (beta),wpli source (gamma),correlation source (delta),correlation source (theta),correlation source (alpha),correlation source (beta),correlation source (gamma),correlation sensor (delta),correlation sensor (theta),correlation sensor (alpha),correlation sensor (beta),correlation sensor (gamma),wpli sensor (delta),wpli sensor (theta),wpli sensor (alpha),wpli sensor (beta),wpli sensor (gamma)
24,10.0,10.0,0.01,10.0,0.001,0.1,10.0,10.0,10.0,0.01,0.001,0.01,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,1.0,0.001,0.01,0.001,1.0,1.0,0.001,0.01,1.0
25,1.0,0.1,0.01,1.0,1.0,10.0,10.0,0.1,0.01,1.0,0.01,0.01,0.001,10.0,0.001,0.001,1.0,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,1.0,0.001,1.0,0.001,0.001
26,0.1,10.0,0.1,1.0,10.0,10.0,1.0,10.0,0.1,1.0,0.01,0.01,0.01,0.01,0.001,0.1,0.1,0.001,1.0,0.1,0.001,0.01,0.001,1.0,0.001,0.001,0.001,0.01,0.001,1.0
27,0.001,10.0,0.1,1.0,0.01,10.0,1.0,10.0,0.01,1.0,0.1,0.001,10.0,0.1,0.001,0.01,0.01,1.0,0.01,0.001,0.001,0.001,0.001,0.001,0.01,1.0,0.001,0.001,0.001,1.0
28,1.0,0.1,1.0,10.0,10.0,10.0,1.0,1.0,10.0,0.1,0.01,0.001,0.01,0.001,0.01,0.1,0.1,0.001,0.001,0.01,0.001,0.001,0.001,1.0,0.001,0.001,0.01,0.001,1.0,0.01
29,10.0,0.01,0.1,10.0,1.0,10.0,10.0,10.0,1.0,10.0,0.001,0.01,0.01,10.0,0.001,0.1,0.01,0.01,0.01,0.001,1.0,0.001,0.001,1.0,0.01,1.0,0.001,0.01,1.0,0.01
30,0.01,10.0,10.0,0.1,0.1,10.0,10.0,0.1,0.001,1.0,10.0,0.001,0.01,0.001,0.001,0.001,0.01,0.001,0.01,0.01,0.001,0.001,0.001,0.001,0.001,1.0,1.0,1.0,1.0,0.01
31,0.01,0.1,10.0,1.0,1.0,10.0,10.0,1.0,0.01,10.0,0.01,0.001,0.01,0.001,0.01,0.1,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
32,1.0,0.1,1.0,10.0,0.001,0.01,10.0,0.1,0.1,0.1,0.001,0.01,0.01,0.1,0.001,10.0,0.01,0.001,0.001,0.1,1.0,1.0,0.01,0.01,0.001,1.0,0.01,0.001,0.001,1.0
33,0.1,0.1,0.01,1.0,1.0,10.0,10.0,0.1,10.0,10.0,0.01,0.01,0.001,0.01,0.01,0.1,0.01,0.001,0.001,0.1,0.001,0.01,0.01,1.0,0.001,1.0,0.001,1.0,1.0,0.001
34,10.0,1.0,1.0,10.0,0.1,10.0,10.0,0.1,0.01,0.001,0.001,0.01,0.001,0.001,0.001,0.1,0.1,0.01,1.0,0.1,1.0,0.001,0.001,0.001,0.001,1.0,0.001,0.01,0.01,1.0
35,10.0,1.0,1.0,10.0,1.0,0.01,10.0,0.01,10.0,0.1,1.0,0.01,0.01,10.0,0.001,0.01,0.1,0.01,0.001,0.1,0.001,1.0,0.01,0.001,0.001,1.0,1.0,1.0,0.001,1.0
36,0.001,1.0,1.0,1.0,0.001,0.01,0.1,10.0,1.0,10.0,0.001,0.01,0.001,0.001,0.001,0.01,0.01,10.0,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0
37,1.0,0.1,0.1,10.0,0.1,10.0,10.0,1.0,0.001,0.001,0.01,0.01,0.001,0.001,0.001,0.1,0.1,0.001,0.001,10.0,0.001,0.001,0.01,0.001,0.001,1.0,0.001,0.01,0.001,1.0
38,0.001,0.01,0.1,10.0,10.0,10.0,1.0,10.0,10.0,0.1,0.01,0.001,0.01,0.001,0.01,0.1,10.0,0.001,0.001,1.0,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.01,0.01,0.01
39,10.0,10.0,1.0,10.0,0.1,10.0,10.0,1.0,10.0,10.0,0.01,0.01,1.0,0.001,0.01,0.1,0.1,0.001,0.01,0.001,1.0,1.0,0.001,0.001,0.001,0.001,0.01,1.0,1.0,0.01
40,0.001,1.0,0.1,10.0,0.01,10.0,1.0,10.0,1.0,0.1,10.0,0.01,0.01,1.0,0.001,0.1,0.1,0.01,0.01,0.01,0.001,1.0,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0
41,10.0,0.1,0.1,10.0,1.0,0.01,1.0,10.0,1.0,10.0,10.0,0.01,0.001,0.001,0.001,1.0,10.0,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
42,10.0,0.1,0.1,10.0,10.0,10.0,1.0,1.0,1.0,10.0,0.001,0.001,0.001,1.0,0.01,1.0,0.1,0.001,0.01,0.01,0.001,0.001,0.01,0.001,0.001,0.001,0.01,0.01,1.0,0.01
43,0.01,0.01,0.1,1.0,10.0,10.0,1.0,10.0,0.1,1.0,0.01,0.01,0.001,0.001,0.01,0.1,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.001,1.0,0.001,0.01,0.01,1.0
44,1.0,0.1,0.1,0.01,10.0,10.0,1.0,10.0,10.0,10.0,0.01,0.01,0.01,0.01,0.001,0.1,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.01,0.001,0.01,0.01
45,0.001,0.001,0.1,0.001,10.0,1.0,10.0,1.0,10.0,0.01,0.001,0.01,0.1,0.01,0.001,1.0,0.01,0.001,0.01,0.001,1.0,0.01,0.001,1.0,0.001,0.001,1.0,0.001,1.0,0.01
46,0.001,0.1,0.01,10.0,10.0,1.0,10.0,10.0,10.0,0.1,1.0,0.01,10.0,10.0,0.001,0.1,0.1,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,1.0,0.01,1.0,0.001,1.0
47,0.001,1.0,0.1,1.0,10.0,10.0,10.0,1.0,0.1,10.0,1.0,0.01,0.1,0.001,0.001,0.1,0.1,0.001,0.001,0.01,1.0,1.0,0.001,0.001,0.001,1.0,0.01,1.0,0.001,0.01
48,10.0,0.01,1.0,10.0,10.0,10.0,1.0,0.1,0.01,0.001,0.001,0.001,0.001,0.001,0.01,0.01,0.1,0.01,0.001,1.0,0.001,0.001,1.0,0.001,0.001,1.0,0.001,0.001,0.01,1.0
49,0.1,1.0,0.1,10.0,0.01,10.0,1.0,1.0,0.01,1.0,0.001,0.001,0.001,1.0,0.001,0.01,0.01,0.001,0.001,0.1,0.001,0.001,0.001,0.001,0.001,1.0,0.01,0.001,1.0,0.001
50,10.0,1.0,10.0,10.0,10.0,0.1,10.0,1.0,10.0,10.0,0.01,0.01,1.0,0.001,0.001,1.0,0.1,0.001,0.01,0.01,0.001,0.01,0.001,0.01,0.001,0.001,1.0,0.001,0.01,1.0
